date,realtime_end,realtime_start,value
2007-10-01,2018-12-05,2018-12-05,1188692
2007-11-01,2018-12-05,2018-12-05,1162536
2007-12-01,2018-12-05,2018-12-05,1183406
2008-01-01,2018-12-05,2018-12-05,1102069
2008-02-01,2018-12-05,2018-12-05,1101336
2008-03-01,2018-12-05,2018-12-05,1190154
2008-04-01,2018-12-05,2018-12-05,1200214
2008-05-01,2018-12-05,2018-12-05,1248440
2008-06-01,2018-12-05,2018-12-05,1261888
2008-07-01,2018-12-05,2018-12-05,1230917
2008-08-01,2018-12-05,2018-12-05,1217705
2008-09-01,2018-12-05,2018-12-05,1177945
2008-10-01,2018-12-05,2018-12-05,1151293
2008-11-01,2018-12-05,2018-12-05,995875
2008-12-01,2018-12-05,2018-12-05,1050830
2009-01-01,2018-12-05,2018-12-05,904169
2009-02-01,2018-12-05,2018-12-05,888602
2009-03-01,2018-12-05,2018-12-05,981431
2009-04-01,2018-12-05,2018-12-05,958933
2009-05-01,2018-12-05,2018-12-05,973259
2009-06-01,2018-12-05,2018-12-05,1022271
2009-07-01,2018-12-05,2018-12-05,991381
2009-08-01,2018-12-05,2018-12-05,1012041
2009-09-01,2018-12-05,2018-12-05,1009141
2009-10-01,2018-12-05,2018-12-05,1029979
2009-11-01,2018-12-05,2018-12-05,1001333
2009-12-01,2018-12-05,2018-12-05,1093088
2010-01-01,2018-12-05,2018-12-05,951062
2010-02-01,2018-12-05,2018-12-05,949431
2010-03-01,2018-12-05,2018-12-05,1123147
2010-04-01,2018-12-05,2018-12-05,1091719
2010-05-01,2018-12-05,2018-12-05,1088264
2010-06-01,2018-12-05,2018-12-05,1123062
2010-07-01,2018-12-05,2018-12-05,1077804
2010-08-01,2018-12-05,2018-12-05,1118983
2010-09-01,2018-12-05,2018-12-05,1109883
2010-10-01,2018-12-05,2018-12-05,1116388
2010-11-01,2018-12-05,2018-12-05,1117840
2010-12-01,2018-12-05,2018-12-05,1199101
2011-01-01,2018-12-05,2018-12-05,1064238
2011-02-01,2018-12-05,2018-12-05,1058756
2011-03-01,2018-12-05,2018-12-05,1262255
2011-04-01,2018-12-05,2018-12-05,1200658
2011-05-01,2018-12-05,2018-12-05,1228496
2011-06-01,2018-12-05,2018-12-05,1255922
2011-07-01,2018-12-05,2018-12-05,1180494
2011-08-01,2018-12-05,2018-12-05,1270590
2011-09-01,2018-12-05,2018-12-05,1231223
2011-10-01,2018-12-05,2018-12-05,1226096
2011-11-01,2018-12-05,2018-12-05,1217572
2011-12-01,2018-12-05,2018-12-05,1283622
2012-01-01,2018-12-05,2018-12-05,1151724
2012-02-01,2018-12-05,2018-12-05,1188357
2012-03-01,2018-12-05,2018-12-05,1324537
2012-04-01,2018-12-05,2018-12-05,1259670
2012-05-01,2018-12-05,2018-12-05,1322352
2012-06-01,2018-12-05,2018-12-05,1277521
2012-07-01,2018-12-05,2018-12-05,1226635
2012-08-01,2018-12-05,2018-12-05,1316191
2012-09-01,2018-12-05,2018-12-05,1245759
2012-10-01,2018-12-05,2018-12-05,1309499
2012-11-01,2018-12-05,2018-12-05,1277636
2012-12-01,2018-12-05,2018-12-05,1307099
2013-01-01,2018-12-05,2018-12-05,1210651
2013-02-01,2018-12-05,2018-12-05,1187803
2013-03-01,2018-12-05,2018-12-05,1321702
2013-04-01,2018-12-05,2018-12-05,1295978
2013-05-01,2018-12-05,2018-12-05,1361129
2013-06-01,2018-12-05,2018-12-05,1306182
2013-07-01,2018-12-05,2018-12-05,1299216
2013-08-01,2018-12-05,2018-12-05,1345785
2013-09-01,2018-12-05,2018-12-05,1291513
2013-10-01,2018-12-05,2018-12-05,1355714
2013-11-01,2018-12-05,2018-12-05,1297391
2013-12-01,2018-12-05,2018-12-05,1365681
2014-01-01,2018-12-05,2018-12-05,1225643
2014-02-01,2018-12-05,2018-12-05,1201663
2014-03-01,2018-12-05,2018-12-05,1362901
2014-04-01,2018-12-05,2018-12-05,1356350
2014-05-01,2018-12-05,2018-12-05,1395535
2014-06-01,2018-12-05,2018-12-05,1376828
2014-07-01,2018-12-05,2018-12-05,1361471
2014-08-01,2018-12-05,2018-12-05,1371296
2014-09-01,2018-12-05,2018-12-05,1362914
2014-10-01,2018-12-05,2018-12-05,1390381
2014-11-01,2018-12-05,2018-12-05,1289457
2014-12-01,2018-12-05,2018-12-05,1396740
2015-01-01,2018-12-05,2018-12-05,1188094
2015-02-01,2018-12-05,2018-12-05,1163003
2015-03-01,2018-12-05,2018-12-05,1337016
2015-04-01,2018-12-05,2018-12-05,1308358
2015-05-01,2018-12-05,2018-12-05,1319937
2015-06-01,2018-12-05,2018-12-05,1361276
2015-07-01,2018-12-05,2018-12-05,1311701
2015-08-01,2018-12-05,2018-12-05,1308306
2015-09-01,2018-12-05,2018-12-05,1310909
2015-10-01,2018-12-05,2018-12-05,1319541
2015-11-01,2018-12-05,2018-12-05,1256449
2015-12-01,2018-12-05,2018-12-05,1352859
2016-01-01,2018-12-05,2018-12-05,1131960
2016-02-01,2018-12-05,2018-12-05,1177873
2016-03-01,2018-12-05,2018-12-05,1327831
2016-04-01,2018-12-05,2018-12-05,1258513
2016-05-01,2018-12-05,2018-12-05,1303259
2016-06-01,2018-12-05,2018-12-05,1344945
2016-07-01,2018-12-05,2018-12-05,1244601
2016-08-01,2018-12-05,2018-12-05,1339516
2016-09-01,2018-12-05,2018-12-05,1311256
2016-10-01,2018-12-05,2018-12-05,1300870
2016-11-01,2018-12-05,2018-12-05,1300083
2016-12-01,2018-12-05,2018-12-05,1396198
2017-01-01,2018-12-05,2018-12-05,1214560
2017-02-01,2018-12-05,2018-12-05,1202516
2017-03-01,2018-12-05,2018-12-05,1400075
2017-04-01,2018-12-05,2018-12-05,1299955
2017-05-01,2018-12-05,2018-12-05,1394276
2017-06-01,2018-12-05,2018-12-05,1400728
2017-07-01,2018-12-05,2018-12-05,1300899
2017-08-01,2018-12-05,2018-12-05,1414620
2017-09-01,2018-12-05,2018-12-05,1371821
2017-10-01,2018-12-05,2018-12-05,1406987
2017-11-01,2018-12-05,2018-12-05,1408141
2017-12-01,2018-12-05,2018-12-05,1457587
2018-01-01,2018-12-05,2018-12-05,1307073
2018-02-01,2018-12-05,2018-12-05,1274391
2018-03-01,2018-12-05,2018-12-05,1472362
2018-04-01,2018-12-05,2018-12-05,1402863
2018-05-01,2018-12-05,2018-12-05,1518669
2018-06-01,2018-12-05,2018-12-05,1491193
2018-07-01,2018-12-05,2018-12-05,1427770
2018-08-01,2018-12-05,2018-12-05,1523289
2018-09-01,2018-12-05,2018-12-05,1436165
