date,realtime_end,realtime_start,value
2009-05-01,2018-12-05,2018-12-05,1365423
2009-06-01,2018-12-05,2018-12-05,1342870
2009-07-01,2018-12-05,2018-12-05,1330686
2009-08-01,2018-12-05,2018-12-05,1311763
2009-09-01,2018-12-05,2018-12-05,1317814
2009-10-01,2018-12-05,2018-12-05,1351120
2009-11-01,2018-12-05,2018-12-05,1363163
2009-12-01,2018-12-05,2018-12-05,1313730
2010-01-01,2018-12-05,2018-12-05,1323939
2010-02-01,2018-12-05,2018-12-05,1338459
2010-03-01,2018-12-05,2018-12-05,1348750
2010-04-01,2018-12-05,2018-12-05,1356023
2010-05-01,2018-12-05,2018-12-05,1351924
2010-06-01,2018-12-05,2018-12-05,1355584
2010-07-01,2018-12-05,2018-12-05,1369854
2010-08-01,2018-12-05,2018-12-05,1379854
2010-09-01,2018-12-05,2018-12-05,1407491
2010-10-01,2018-12-05,2018-12-05,1451907
2010-11-01,2018-12-05,2018-12-05,1464594
2010-12-01,2018-12-05,2018-12-05,1430830
2011-01-01,2018-12-05,2018-12-05,1453907
2011-02-01,2018-12-05,2018-12-05,1469496
2011-03-01,2018-12-05,2018-12-05,1491032
2011-04-01,2018-12-05,2018-12-05,1505339
2011-05-01,2018-12-05,2018-12-05,1514063
2011-06-01,2018-12-05,2018-12-05,1510182
2011-07-01,2018-12-05,2018-12-05,1520115
2011-08-01,2018-12-05,2018-12-05,1527178
2011-09-01,2018-12-05,2018-12-05,1536239
2011-10-01,2018-12-05,2018-12-05,1580458
2011-11-01,2018-12-05,2018-12-05,1588233
2011-12-01,2018-12-05,2018-12-05,1543158
2012-01-01,2018-12-05,2018-12-05,1564521
2012-02-01,2018-12-05,2018-12-05,1585354
2012-03-01,2018-12-05,2018-12-05,1594813
2012-04-01,2018-12-05,2018-12-05,1603677
2012-05-01,2018-12-05,2018-12-05,1601220
2012-06-01,2018-12-05,2018-12-05,1591481
2012-07-01,2018-12-05,2018-12-05,1606774
2012-08-01,2018-12-05,2018-12-05,1613406
2012-09-01,2018-12-05,2018-12-05,1637897
2012-10-01,2018-12-05,2018-12-05,1677990
2012-11-01,2018-12-05,2018-12-05,1684151
2012-12-01,2018-12-05,2018-12-05,1631961
2013-01-01,2018-12-05,2018-12-05,1662600
2013-02-01,2018-12-05,2018-12-05,1670679
2013-03-01,2018-12-05,2018-12-05,1671459
2013-04-01,2018-12-05,2018-12-05,1677618
2013-05-01,2018-12-05,2018-12-05,1664568
2013-06-01,2018-12-05,2018-12-05,1651162
2013-07-01,2018-12-05,2018-12-05,1661088
2013-08-01,2018-12-05,2018-12-05,1667624
