date,realtime_end,realtime_start,value
2013-10-01,2018-12-05,2018-12-05,1310604
2013-11-01,2018-12-05,2018-12-05,1323392
2013-12-01,2018-12-05,2018-12-05,1321509
2014-01-01,2018-12-05,2018-12-05,1311129
2014-02-01,2018-12-05,2018-12-05,1326186
2014-03-01,2018-12-05,2018-12-05,1337648
2014-04-01,2018-12-05,2018-12-05,1345367
2014-05-01,2018-12-05,2018-12-05,1347691
2014-06-01,2018-12-05,2018-12-05,1349310
2014-07-01,2018-12-05,2018-12-05,1355758
2014-08-01,2018-12-05,2018-12-05,1356607
2014-09-01,2018-12-05,2018-12-05,1350907
2014-10-01,2018-12-05,2018-12-05,1342682
2014-11-01,2018-12-05,2018-12-05,1335236
2014-12-01,2018-12-05,2018-12-05,1321132
2015-01-01,2018-12-05,2018-12-05,1292403
2015-02-01,2018-12-05,2018-12-05,1285481
2015-03-01,2018-12-05,2018-12-05,1295684
2015-04-01,2018-12-05,2018-12-05,1298998
2015-05-01,2018-12-05,2018-12-05,1304607
2015-06-01,2018-12-05,2018-12-05,1308569
2015-07-01,2018-12-05,2018-12-05,1309117
2015-08-01,2018-12-05,2018-12-05,1298927
2015-09-01,2018-12-05,2018-12-05,1295450
2015-10-01,2018-12-05,2018-12-05,1289498
2015-11-01,2018-12-05,2018-12-05,1281891
2015-12-01,2018-12-05,2018-12-05,1267759
2016-01-01,2018-12-05,2018-12-05,1261019
2016-02-01,2018-12-05,2018-12-05,1254839
2016-03-01,2018-12-05,2018-12-05,1262459
2016-04-01,2018-12-05,2018-12-05,1269472
2016-05-01,2018-12-05,2018-12-05,1273910
2016-06-01,2018-12-05,2018-12-05,1289491
2016-07-01,2018-12-05,2018-12-05,1286441
2016-08-01,2018-12-05,2018-12-05,1288246
2016-09-01,2018-12-05,2018-12-05,1293527
2016-10-01,2018-12-05,2018-12-05,1299237
2016-11-01,2018-12-05,2018-12-05,1298299
2016-12-01,2018-12-05,2018-12-05,1323973
2017-01-01,2018-12-05,2018-12-05,1333366
2017-02-01,2018-12-05,2018-12-05,1333242
2017-03-01,2018-12-05,2018-12-05,1333933
2017-04-01,2018-12-05,2018-12-05,1336631
2017-05-01,2018-12-05,2018-12-05,1335203
2017-06-01,2018-12-05,2018-12-05,1342005
2017-07-01,2018-12-05,2018-12-05,1345285
2017-08-01,2018-12-05,2018-12-05,1356602
2017-09-01,2018-12-05,2018-12-05,1376904
2017-10-01,2018-12-05,2018-12-05,1385144
2017-11-01,2018-12-05,2018-12-05,1402872
2017-12-01,2018-12-05,2018-12-05,1410433
2018-01-01,2018-12-05,2018-12-05,1406327
2018-02-01,2018-12-05,2018-12-05,1411971
2018-03-01,2018-12-05,2018-12-05,1420071
2018-04-01,2018-12-05,2018-12-05,1429298
2018-05-01,2018-12-05,2018-12-05,1447550
2018-06-01,2018-12-05,2018-12-05,1451814
2018-07-01,2018-12-05,2018-12-05,1455246
2018-08-01,2018-12-05,2018-12-05,1461984
2018-09-01,2018-12-05,2018-12-05,1468036
